nodes;links;generation;population;realloc_rate;resize_rate;elite;maxScore
10;12;25;325;0,35;0,8;32;0,6489795918367347
10;12;30;100;0,35;0,8;10;0,6435374149659864
10;12;30;100;0,35;0,8;10;0,6428571428571429
10;12;30;100;0,35;0,8;10;0,6428571428571429
10;12;30;100;0,35;0,8;10;0,636734693877551
10;12;30;100;0,35;0,8;10;0,6394557823129252
10;12;30;100;0,35;0,8;10;0,6353741496598639
10;12;30;100;0,35;0,8;10;0,6394557823129252
10;12;30;100;0,35;0,8;10;0,6428571428571429
10;12;30;100;0,35;0,8;10;0,6346938775510204
10;12;30;100;0,35;0,8;10;0,6319727891156462
10;12;30;100;0,35;0,8;10;0,6333333333333333
10;12;30;100;0,35;0,8;10;0,6360544217687075
10;12;30;100;0,35;0,8;10;0,6374149659863946
10;12;30;100;0,35;0,8;10;0,6394557823129252
10;12;30;100;0,35;0,8;10;0,6482993197278911
10;12;30;100;0,35;0,8;10;0,6435374149659864
10;12;30;100;0,35;0,8;10;0,6489795918367347
10;12;30;100;0,35;0,8;10;0,6326530612244898
10;12;30;100;0,35;0,8;10;0,6530612244897959
10;12;30;100;0,35;0,8;10;0,64421768707483
10;12;30;100;0,35;0,8;10;0,6428571428571429
10;12;30;100;0,35;0,8;10;0,6360544217687075
10;12;30;100;0,35;0,8;10;0,6469387755102041
10;12;30;100;0,35;0,8;10;0,6408163265306123
10;12;30;100;0,35;0,8;10;0,638095238095238
10;12;30;100;0,35;0,8;10;0,6414965986394557
10;12;30;100;0,35;0,8;10;0,6462585034013606
10;12;30;100;0,35;0,8;10;0,6462585034013606
10;12;30;100;0,35;0,8;10;0,6476190476190476
10;12;30;100;0,35;0,8;10;0,6401360544217687
10;12;30;100;0,35;0,8;10;0,6414965986394557
10;12;30;100;0,35;0,8;10;0,6333333333333333
10;12;30;100;0,35;0,8;10;0,6319727891156462
10;12;30;300;0,35;0,8;30;0,6517006802721088
10;12;30;300;0,35;0,8;30;0,64421768707483
10;12;30;300;0,35;0,8;30;0,6408163265306123
10;12;30;300;0,35;0,8;30;0,6469387755102041
10;12;30;300;0,35;0,8;30;0,64421768707483
10;12;30;300;0,35;0,8;30;0,6510204081632653
10;12;30;300;0,35;0,8;30;0,6414965986394557
10;12;30;300;0,35;0,8;30;0,6387755102040816
10;12;30;300;0,35;0,8;30;0,6428571428571429
10;12;30;300;0,35;0,8;30;0,6360544217687075
10;12;30;300;0,35;0,8;30;0,6421768707482993
10;12;30;300;0,35;0,8;30;0,6448979591836734
10;12;30;300;0,35;0,8;30;0,6510204081632653
10;12;30;300;0,35;0,8;30;0,636734693877551
10;12;30;300;0,35;0,8;30;0,6435374149659864
10;12;30;300;0,35;0,8;30;0,645578231292517
10;12;30;300;0,35;0,8;30;0,6510204081632653
10;12;30;300;0,35;0,8;30;0,6401360544217687
